YearStart,LocationDesc,Question,Number
2012,Colorado,End-stage renal disease,55.0
2019,Georgia,End-stage renal disease,46.9
2013,Iowa,End-stage renal disease,38.9
2011,Alabama,End-stage renal disease,113.3
2014,Louisiana,End-stage renal disease,49.1
2020,Hawaii,End-stage renal disease,33.7
2020,Indiana,End-stage renal disease,106.3
2020,District of Columbia,End-stage renal disease,
2014,Delaware,End-stage renal disease,75.1
2013,Iowa,End-stage renal disease,50.1
2019,Alaska,End-stage renal disease,
2018,Kansas,End-stage renal disease,59.8
2013,Hawaii,End-stage renal disease,
2015,Hawaii,End-stage renal disease,44.0
2012,Idaho,End-stage renal disease,82.8
2016,Kentucky,End-stage renal disease,69.8
2010,Kansas,End-stage renal disease,85.6
2015,District of Columbia,End-stage renal disease,34.1
2010,Illinois,End-stage renal disease,91.2
2013,Illinois,End-stage renal disease,54.9
2020,Arizona,End-stage renal disease,42.7
2013,Arkansas,End-stage renal disease,83.4
2014,Massachusetts,End-stage renal disease,62.5
2020,Florida,End-stage renal disease,41.9
2014,Indiana,End-stage renal disease,66.4
2013,Maryland,End-stage renal disease,26.3
2011,Louisiana,End-stage renal disease,87.9
2014,Alabama,End-stage renal disease,60.1
2020,Alabama,End-stage renal disease,121.4
2013,Louisiana,End-stage renal disease,58.4
2015,Florida,End-stage renal disease,30.9
2020,California,End-stage renal disease,77.0
2015,Connecticut,End-stage renal disease,81.1
2020,Kentucky,End-stage renal disease,153.4
2015,Louisiana,End-stage renal disease,69.6
2013,Kansas,End-stage renal disease,54.4
2018,Massachusetts,End-stage renal disease,77.1
2020,Maryland,End-stage renal disease,96.7
2019,Idaho,End-stage renal disease,53.7
2011,Connecticut,End-stage renal disease,49.7
2010,Arizona,End-stage renal disease,61.1
2020,Arizona,End-stage renal disease,75.1
2019,Delaware,End-stage renal disease,49.1
2016,Idaho,End-stage renal disease,52.2
2011,Florida,End-stage renal disease,52.9
2016,Louisiana,End-stage renal disease,88.0
2018,California,End-stage renal disease,51.7
2014,Iowa,End-stage renal disease,49.2
2020,Connecticut,End-stage renal disease,17.0
2011,Indiana,End-stage renal disease,81.3
2020,Massachusetts,End-stage renal disease,89.6
2012,Colorado,End-stage renal disease,34.2
2010,Kansas,End-stage renal disease,203.7
2015,Alabama,End-stage renal disease,49.8
2020,Indiana,End-stage renal disease,131.5
2015,Idaho,End-stage renal disease,51.7
2014,District of Columbia,End-stage renal disease,
2014,California,End-stage renal disease,65.8
2014,Maryland,End-stage renal disease,44.1
2017,Connecticut,End-stage renal disease,60.4
2020,Alabama,End-stage renal disease,60.5
2011,Florida,End-stage renal disease,43.6
2012,Georgia,End-stage renal disease,24.5
2020,Connecticut,End-stage renal disease,106.4
2014,Massachusetts,End-stage renal disease,
2017,District of Columbia,End-stage renal disease,42.3
2014,Maryland,End-stage renal disease,73.4
2015,Maryland,End-stage renal disease,27.5
2017,Louisiana,End-stage renal disease,83.0
2016,Delaware,End-stage renal disease,81.4
2012,Maryland,End-stage renal disease,60.3
2010,Georgia,End-stage renal disease,
2015,California,End-stage renal disease,52.9
2015,Alaska,End-stage renal disease,56.3
2020,Colorado,End-stage renal disease,90.6
2013,Georgia,End-stage renal disease,
2015,Alabama,End-stage renal disease,73.4
2011,Idaho,End-stage renal disease,155.3
2020,Alaska,End-stage renal disease,58.6
2013,Arkansas,End-stage renal disease,55.8
2011,Massachusetts,End-stage renal disease,90.0
2013,Illinois,End-stage renal disease,38.2
2016,Alaska,End-stage renal disease,
2010,Maryland,End-stage renal disease,70.9
2017,Georgia,End-stage renal disease,83.3
2015,Florida,End-stage renal disease,31.7
2018,Louisiana,End-stage renal disease,57.4
2011,Indiana,End-stage renal disease,
2018,Arizona,End-stage renal disease,24.0
2016,Louisiana,End-stage renal disease,45.1
2018,Kentucky,End-stage renal disease,85.1
2013,Arizona,End-stage renal disease,67.9
2011,Arizona,End-stage renal disease,71.4
2012,Idaho,End-stage renal disease,66.7
2014,Kentucky,End-stage renal disease,96.6
2014,Colorado,End-stage renal disease,34.4
2015,Idaho,End-stage renal disease,
2020,Colorado,End-stage renal disease,98.2
2018,Florida,End-stage renal disease,31.4
2016,Arkansas,End-stage renal disease,
2017,Iowa,End-stage renal disease,118.9
2011,Hawaii,End-stage renal disease,88.2
2018,Massachusetts,End-stage renal disease,
2018,Colorado,End-stage renal disease,45.5
2014,Kentucky,End-stage renal disease,62.4
2017,Delaware,End-stage renal disease,106.7
2020,Idaho,End-stage renal disease,
2014,Illinois,End-stage renal disease,83.0
2011,Iowa,End-stage renal disease,70.0
2015,Kentucky,End-stage renal disease,
2018,Hawaii,End-stage renal disease,53.4
2010,Connecticut,End-stage renal disease,57.1
2017,Illinois,End-stage renal disease,36.8
2016,Connecticut,End-stage renal disease,37.5
2016,California,End-stage renal disease,42.4
2015,Idaho,End-stage renal disease,50.6
2017,Arkansas,End-stage renal disease,81.5
2018,Colorado,End-stage renal disease,92.9
2010,Hawaii,End-stage renal disease,69.5
2010,Idaho,End-stage renal disease,78.6
2020,Illinois,End-stage renal disease,78.7
2020,Hawaii,End-stage renal disease,44.7
2015,Indiana,End-stage renal disease,133.5
2017,Iowa,End-stage renal disease,45.8
2017,Connecticut,End-stage renal disease,77.6
2020,Hawaii,End-stage renal disease,58.8
2019,Hawaii,End-stage renal disease,55.7
2015,Arizona,End-stage renal disease,100.9
2020,Maryland,End-stage renal disease,74.1
2012,Hawaii,End-stage renal disease,69.7
2012,Idaho,End-stage renal disease,
2014,California,End-stage renal disease,39.4
2013,Florida,End-stage renal disease,73.5
2010,Colorado,End-stage renal disease,23.8
2016,Illinois,End-stage renal disease,67.5
2020,California,End-stage renal disease,58.2
2019,Colorado,End-stage renal disease,100.7
2019,California,End-stage renal disease,76.0
2015,Louisiana,End-stage renal disease,49.3
2014,Hawaii,End-stage renal disease,44.1
2018,Massachusetts,End-stage renal disease,51.3
2017,California,End-stage renal disease,73.1
2011,California,End-stage renal disease,89.1
2010,Indiana,End-stage renal disease,64.9
2016,Kansas,End-stage renal disease,54.0
2014,Florida,End-stage renal disease,37.3
2015,Maryland,End-stage renal disease,51.1
2015,Indiana,End-stage renal disease,37.5
2017,Arkansas,End-stage renal disease,
2010,Arizona,End-stage renal disease,32.1
2015,Arizona,End-stage renal disease,49.6
2019,Connecticut,End-stage renal disease,89.7
2016,Iowa,End-stage renal disease,67.9
2012,Colorado,End-stage renal disease,113.6
2020,Massachusetts,End-stage renal disease,67.4
2010,Idaho,End-stage renal disease,
2010,Maryland,End-stage renal disease,37.7
2020,Arizona,End-stage renal disease,44.3
2018,Delaware,End-stage renal disease,62.8
2016,Georgia,End-stage renal disease,66.2
2020,Kansas,End-stage renal disease,56.6
2015,Kentucky,End-stage renal disease,126.2
2013,Alaska,End-stage renal disease,74.7
2012,Kansas,End-stage renal disease,67.4
2010,California,End-stage renal disease,66.7
2014,Alaska,End-stage renal disease,69.2
2013,Maryland,End-stage renal disease,27.5
2015,Indiana,End-stage renal disease,
2018,Arizona,End-stage renal disease,38.0
2015,Arkansas,End-stage renal disease,62.2
2020,Iowa,End-stage renal disease,81.9
2013,Kansas,End-stage renal disease,66.7
2014,Kentucky,End-stage renal disease,74.5
2011,Arkansas,End-stage renal disease,63.1
2019,Indiana,End-stage renal disease,127.3
2017,Alaska,End-stage renal disease,51.3
2020,Connecticut,End-stage renal disease,67.7
2018,Arkansas,End-stage renal disease,62.5
2012,Colorado,End-stage renal disease,68.7
2018,Massachusetts,End-stage renal disease,70.7
2019,Iowa,End-stage renal disease,33.2
2014,Georgia,End-stage renal disease,30.1
2016,Arizona,End-stage renal disease,42.0
2012,Indiana,End-stage renal disease,66.7
2018,Arizona,End-stage renal disease,47.3
2013,California,End-stage renal disease,52.1
2010,Massachusetts,End-stage renal disease,64.3
2017,Massachusetts,End-stage renal disease,53.2
2011,Indiana,End-stage renal disease,55.3
2019,Illinois,End-stage renal disease,
2014,Delaware,End-stage renal disease,104.4
2012,Arizona,End-stage renal disease,71.9
2011,California,End-stage renal disease,153.9
2013,Iowa,End-stage renal disease,
2015,Alabama,End-stage renal disease,59.6
2014,Connecticut,End-stage renal disease,74.8
2011,Maryland,End-stage renal disease,121.3
2010,Illinois,End-stage renal disease,106.7
2016,Hawaii,End-stage renal disease,44.5
2010,District of Columbia,End-stage renal disease,63.9
2011,Connecticut,End-stage renal disease,105.5
2017,Alabama,End-stage renal disease,51.5
2012,Massachusetts,End-stage renal disease,84.9
2012,Hawaii,End-stage renal disease,
2012,Iowa,End-stage renal disease,59.3
2018,Iowa,End-stage renal disease,56.0
2010,Kentucky,End-stage renal disease,75.2
2016,District of Columbia,End-stage renal disease,18.7
2019,Arizona,End-stage renal disease,35.2
2012,District of Columbia,End-stage renal disease,
2019,Kentucky,End-stage renal disease,74.9
2011,Arkansas,End-stage renal disease,156.4
2011,Kentucky,End-stage renal disease,
2011,Hawaii,End-stage renal disease,73.9
2018,Delaware,End-stage renal disease,50.8
2015,Hawaii,End-stage renal disease,43.3
2020,Idaho,End-stage renal disease,75.0
2013,Kentucky,End-stage renal disease,70.6
2018,Georgia,End-stage renal disease,28.6
2015,Colorado,End-stage renal disease,
2010,Alabama,End-stage renal disease,84.9
2016,Kansas,End-stage renal disease,118.7
2017,Kentucky,End-stage renal disease,83.4
2014,Louisiana,End-stage renal disease,40.3
2016,Alabama,End-stage renal disease,88.8
2018,Georgia,End-stage renal disease,56.1
2012,Arkansas,End-stage renal disease,
2010,Indiana,End-stage renal disease,65.9
2016,Iowa,End-stage renal disease,
2019,District of Columbia,End-stage renal disease,51.9
2017,District of Columbia,End-stage renal disease,
2013,Arkansas,End-stage renal disease,
2012,California,End-stage renal disease,65.4
2019,California,End-stage renal disease,67.8
2010,Kansas,End-stage renal disease,131.6
2016,Idaho,End-stage renal disease,55.7
2013,Louisiana,End-stage renal disease,
2018,Alabama,End-stage renal disease,60.2
2012,Alaska,End-stage renal disease,73.4
2012,Maryland,End-stage renal disease,59.5
2019,Florida,End-stage renal disease,32.4
2018,Connecticut,End-stage renal disease,36.0
2010,Alaska,End-stage renal disease,
2020,Iowa,End-stage renal disease,95.1
2017,Indiana,End-stage renal disease,67.4
2018,Hawaii,End-stage renal disease,32.3
2016,Colorado,End-stage renal disease,38.1
2014,Kentucky,End-stage renal disease,
2019,District of Columbia,End-stage renal disease,82.5
2019,Florida,End-stage renal disease,74.4
2015,Iowa,End-stage renal disease,39.9
2016,Georgia,End-stage renal disease,
2010,Kentucky,End-stage renal disease,88.5
2016,District of Columbia,End-stage renal disease,
2013,Georgia,End-stage renal disease,74.5
2014,Massachusetts,End-stage renal disease,69.4
2010,Colorado,End-stage renal disease,44.0
2012,Delaware,End-stage renal disease,61.6
2012,Illinois,End-stage renal disease,58.8
2010,Connecticut,End-stage renal disease,83.9
2013,Connecticut,End-stage renal disease,40.5
2015,Indiana,End-stage renal disease,43.5
2018,Iowa,End-stage renal disease,47.0
2013,Delaware,End-stage renal disease,73.7
2010,Delaware,End-stage renal disease,96.2
2020,Illinois,End-stage renal disease,48.5
2011,Idaho,End-stage renal disease,85.6
2018,Alaska,End-stage renal disease,
2012,Alaska,End-stage renal disease,74.3
2018,Idaho,End-stage renal disease,
2019,Connecticut,End-stage renal disease,39.6
2012,Massachusetts,End-stage renal disease,64.4
2020,Indiana,End-stage renal disease,65.4
2014,Delaware,End-stage renal disease,58.7
2013,Massachusetts,End-stage renal disease,51.8
2019,Massachusetts,End-stage renal disease,42.8
2010,Louisiana,End-stage renal disease,71.2
2014,Georgia,End-stage renal disease,55.1
2015,Kansas,End-stage renal disease,48.4
2013,Kentucky,End-stage renal disease,96.3
2014,Indiana,End-stage renal disease,49.4
2018,Alaska,End-stage renal disease,44.9
2016,Colorado,End-stage renal disease,53.6
2011,Arizona,End-stage renal disease,137.7
2016,Illinois,End-stage renal disease,52.5
2010,Arizona,End-stage renal disease,49.9
2014,Arizona,End-stage renal disease,33.7
2013,Alabama,End-stage renal disease,108.5
2014,District of Columbia,End-stage renal disease,36.5
2018,Kentucky,End-stage renal disease,108.4
2015,Illinois,End-stage renal disease,45.5
2014,Kansas,End-stage renal disease,54.4
2016,Florida,End-stage renal disease,38.2
2014,Iowa,End-stage renal disease,
2016,Idaho,End-stage renal disease,
2016,Indiana,End-stage renal disease,60.2
2017,Colorado,End-stage renal disease,73.9
2015,Alaska,End-stage renal disease,51.3
2011,Florida,End-stage renal disease,40.9
2015,Florida,End-stage renal disease,37.8
2010,California,End-stage renal disease,92.3
2010,Indiana,End-stage renal disease,
2014,Florida,End-stage renal disease,
2016,Kentucky,End-stage renal disease,
2013,District of Columbia,End-stage renal disease,
2010,Iowa,End-stage renal disease,47.2
2020,Massachusetts,End-stage renal disease,65.0
2014,District of Columbia,End-stage renal disease,
2018,District of Columbia,End-stage renal disease,61.7
2013,Colorado,End-stage renal disease,33.1
2018,Delaware,End-stage renal disease,56.5
2017,Louisiana,End-stage renal disease,40.8
2015,Idaho,End-stage renal disease,35.4
2016,Iowa,End-stage renal disease,48.9
2015,Massachusetts,End-stage renal disease,
2020,Delaware,End-stage renal disease,
2019,Alaska,End-stage renal disease,63.1
2010,Florida,End-stage renal disease,51.0
2015,Colorado,End-stage renal disease,54.2
2019,Alabama,End-stage renal disease,88.6
2012,Florida,End-stage renal disease,103.2
2019,Louisiana,End-stage renal disease,53.1
2016,Georgia,End-stage renal disease,83.2
2011,Illinois,End-stage renal disease,73.6
2019,Massachusetts,End-stage renal disease,69.4
2010,Kentucky,End-stage renal disease,
2017,Delaware,End-stage renal disease,58.9
2014,Idaho,End-stage renal disease,47.5
2017,Arizona,End-stage renal disease,32.5
2020,Georgia,End-stage renal disease,
2011,Massachusetts,End-stage renal disease,65.1
2018,Alaska,End-stage renal disease,44.9
2010,Idaho,End-stage renal disease,85.1
2015,Hawaii,End-stage renal disease,
2013,Idaho,End-stage renal disease,49.1
2011,Georgia,End-stage renal disease,68.2
2017,Iowa,End-stage renal disease,75.3
2018,Massachusetts,End-stage renal disease,48.4
2012,Kansas,End-stage renal disease,88.2
2013,Indiana,End-stage renal disease,81.2
2014,Georgia,End-stage renal disease,23.8
2016,Illinois,End-stage renal disease,38.3
2015,Arizona,End-stage renal disease,42.0
2012,Louisiana,End-stage renal disease,89.8
2016,Connecticut,End-stage renal disease,68.4
2010,Indiana,End-stage renal disease,75.3
2014,Iowa,End-stage renal disease,
2017,Georgia,End-stage renal disease,31.7
2019,Arizona,End-stage renal disease,51.4
2011,Alabama,End-stage renal disease,75.3
2019,Hawaii,End-stage renal disease,65.2
2017,Alabama,End-stage renal disease,48.1
2014,Kentucky,End-stage renal disease,
2011,Kentucky,End-stage renal disease,97.1
2010,Idaho,End-stage renal disease,61.4
2017,Idaho,End-stage renal disease,52.6
2013,Maryland,End-stage renal disease,77.4
2012,Connecticut,End-stage renal disease,109.5
2018,Iowa,End-stage renal disease,116.6
2012,Georgia,End-stage renal disease,
2019,Kansas,End-stage renal disease,80.2
2018,Georgia,End-stage renal disease,85.5
2019,Massachusetts,End-stage renal disease,72.9
2014,Idaho,End-stage renal disease,58.8
2012,Delaware,End-stage renal disease,
2020,Louisiana,End-stage renal disease,53.0
2017,Hawaii,End-stage renal disease,37.0
2016,Indiana,End-stage renal disease,79.4
2013,Louisiana,End-stage renal disease,88.3
2012,Maryland,End-stage renal disease,91.6
2020,Arkansas,End-stage renal disease,68.4
2013,Kentucky,End-stage renal disease,
2019,Kansas,End-stage renal disease,64.2
2019,Delaware,End-stage renal disease,
2020,Kansas,End-stage renal disease,160.3
2017,Florida,End-stage renal disease,32.4
2013,Arizona,End-stage renal disease,38.9
2014,Colorado,End-stage renal disease,42.1
2019,Arkansas,End-stage renal disease,68.0
2016,Arkansas,End-stage renal disease,
2020,Alaska,End-stage renal disease,51.0
2016,Idaho,End-stage renal disease,
2010,Louisiana,End-stage renal disease,35.2
2013,Massachusetts,End-stage renal disease,39.4
2011,Arizona,End-stage renal disease,52.2
2010,Arkansas,End-stage renal disease,
2011,Delaware,End-stage renal disease,95.2
2015,Kentucky,End-stage renal disease,104.3
2016,Indiana,End-stage renal disease,132.0
2011,Hawaii,End-stage renal disease,99.0
2011,Alaska,End-stage renal disease,64.4
2013,Florida,End-stage renal disease,31.1
2016,District of Columbia,End-stage renal disease,
2012,Iowa,End-stage renal disease,71.1
2012,Kentucky,End-stage renal disease,
2016,Kentucky,End-stage renal disease,83.8
2020,Idaho,End-stage renal disease,118.3
2018,Louisiana,End-stage renal disease,87.6
2012,Massachusetts,End-stage renal disease,57.8
2011,Alabama,End-stage renal disease,74.0
2019,Alaska,End-stage renal disease,51.4
2020,Georgia,End-stage renal disease,45.0
2019,Kansas,End-stage renal disease,130.0
2019,Delaware,End-stage renal disease,54.7
2015,Georgia,End-stage renal disease,46.4
2020,Delaware,End-stage renal disease,77.9
2011,Idaho,End-stage renal disease,65.7
2015,Indiana,End-stage renal disease,101.3
2019,Colorado,End-stage renal disease,70.1
2013,Illinois,End-stage renal disease,51.8
2017,California,End-stage renal disease,93.1
2018,Colorado,End-stage renal disease,76.9
2017,Kansas,End-stage renal disease,96.8
2011,Kansas,End-stage renal disease,
2015,Iowa,End-stage renal disease,68.7
2018,Alabama,End-stage renal disease,
2012,Indiana,End-stage renal disease,80.8
2015,Hawaii,End-stage renal disease,95.8
2016,Alaska,End-stage renal disease,55.6
2012,Alabama,End-stage renal disease,37.4
2018,Illinois,End-stage renal disease,53.8
2020,California,End-stage renal disease,48.8
2020,Kentucky,End-stage renal disease,86.7
2011,Hawaii,End-stage renal disease,
2011,Louisiana,End-stage renal disease,
2020,Iowa,End-stage renal disease,
2018,Florida,End-stage renal disease,28.5
2015,Indiana,End-stage renal disease,82.5
2017,Hawaii,End-stage renal disease,36.9
2013,Colorado,End-stage renal disease,42.8
2012,Delaware,End-stage renal disease,89.0
2011,Illinois,End-stage renal disease,59.9
2020,Arizona,End-stage renal disease,67.2
2015,Kansas,End-stage renal disease,55.1
2017,Colorado,End-stage renal disease,43.6
2015,Arizona,End-stage renal disease,58.8
2013,Alaska,End-stage renal disease,39.6
2016,Louisiana,End-stage renal disease,46.8
2013,Maryland,End-stage renal disease,67.5
2012,Georgia,End-stage renal disease,95.3
2011,Florida,End-stage renal disease,48.7
2016,Arkansas,End-stage renal disease,62.8
2015,Kentucky,End-stage renal disease,
2020,Indiana,End-stage renal disease,80.4
2011,Arkansas,End-stage renal disease,
2014,Indiana,End-stage renal disease,96.9
2014,California,End-stage renal disease,49.1
2016,Florida,End-stage renal disease,28.5
2020,Connecticut,End-stage renal disease,78.2
2018,Hawaii,End-stage renal disease,86.0
2020,Alabama,End-stage renal disease,94.6
2017,Illinois,End-stage renal disease,68.0
2020,Maryland,End-stage renal disease,114.7
2020,Hawaii,End-stage renal disease,32.0
2020,Indiana,End-stage renal disease,87.4
2013,Indiana,End-stage renal disease,53.1
2020,California,End-stage renal disease,49.6
2010,Maryland,End-stage renal disease,31.2
2020,District of Columbia,End-stage renal disease,103.7
2018,Kansas,End-stage renal disease,62.5
2011,Connecticut,End-stage renal disease,83.9
2014,Indiana,End-stage renal disease,76.3
2020,Arkansas,End-stage renal disease,145.8
2016,Kansas,End-stage renal disease,46.7
2018,District of Columbia,End-stage renal disease,
2017,Georgia,End-stage renal disease,54.0
2010,District of Columbia,End-stage renal disease,106.1
2012,Colorado,End-stage renal disease,45.6
2020,Arizona,End-stage renal disease,52.8
2010,Illinois,End-stage renal disease,45.4
2015,Illinois,End-stage renal disease,53.6
2014,Indiana,End-stage renal disease,
2020,Florida,End-stage renal disease,38.1
2012,Massachusetts,End-stage renal disease,95.9
2015,California,End-stage renal disease,41.9
2013,Kentucky,End-stage renal disease,59.5
2012,Kentucky,End-stage renal disease,161.0
2019,Georgia,End-stage renal disease,55.0
2013,Idaho,End-stage renal disease,
2017,Florida,End-stage renal disease,32.4
2020,Illinois,End-stage renal disease,
2014,Massachusetts,End-stage renal disease,39.5
2016,Alabama,End-stage renal disease,
2016,Arizona,End-stage renal disease,23.3
2013,California,End-stage renal disease,90.0
2017,Illinois,End-stage renal disease,
2018,Louisiana,End-stage renal disease,
2012,California,End-stage renal disease,149.8
2015,Kentucky,End-stage renal disease,
2019,Idaho,End-stage renal disease,53.7
2014,District of Columbia,End-stage renal disease,56.6
2015,Colorado,End-stage renal disease,68.4
2012,Florida,End-stage renal disease,43.2
2019,Illinois,End-stage renal disease,84.2
2020,Louisiana,End-stage renal disease,
2012,Maryland,End-stage renal disease,
2017,Iowa,End-stage renal disease,
2018,Kansas,End-stage renal disease,44.6
2013,Arizona,End-stage renal disease,103.4
2010,Delaware,End-stage renal disease,
2014,Louisiana,End-stage renal disease,92.6
2016,Alaska,End-stage renal disease,86.5
2012,Louisiana,End-stage renal disease,
2010,Hawaii,End-stage renal disease,65.4
2016,Florida,End-stage renal disease,40.4
2011,Iowa,End-stage renal disease,57.9
2020,Kansas,End-stage renal disease,68.8
2012,District of Columbia,End-stage renal disease,
2010,Florida,End-stage renal disease,97.2
2017,Alaska,End-stage renal disease,
2011,District of Columbia,End-stage renal disease,77.9
2010,California,End-stage renal disease,78.8
2013,Connecticut,End-stage renal disease,45.4
2011,Idaho,End-stage renal disease,
2015,Connecticut,End-stage renal disease,47.6
2014,Colorado,End-stage renal disease,57.6
2015,Kentucky,End-stage renal disease,83.8
2011,Kansas,End-stage renal disease,70.9
2015,Delaware,End-stage renal disease,
2012,Connecticut,End-stage renal disease,77.9
2016,California,End-stage renal disease,52.4
2011,Alaska,End-stage renal disease,76.2
2018,District of Columbia,End-stage renal disease,51.6
2017,Arkansas,End-stage renal disease,38.5
2019,Iowa,End-stage renal disease,60.3
2019,Kentucky,End-stage renal disease,50.2
2019,Hawaii,End-stage renal disease,35.1
2016,Hawaii,End-stage renal disease,46.5
2017,Arizona,End-stage renal disease,41.2
2012,Iowa,End-stage renal disease,
2020,Colorado,End-stage renal disease,64.1
2013,Alabama,End-stage renal disease,82.9
2013,Hawaii,End-stage renal disease,37.7
2010,Alaska,End-stage renal disease,105.2
2016,Delaware,End-stage renal disease,
2010,Iowa,End-stage renal disease,61.7
2011,Maryland,End-stage renal disease,63.6
2018,Florida,End-stage renal disease,24.9
2010,Connecticut,End-stage renal disease,
2015,Delaware,End-stage renal disease,54.8
2015,Idaho,End-stage renal disease,
2010,Indiana,End-stage renal disease,97.9
2015,Georgia,End-stage renal disease,33.8
2018,District of Columbia,End-stage renal disease,
2016,District of Columbia,End-stage renal disease,52.4
2010,Iowa,End-stage renal disease,66.8
2013,Hawaii,End-stage renal disease,49.4
2014,Arizona,End-stage renal disease,26.5
2013,Connecticut,End-stage renal disease,81.7
2015,Kansas,End-stage renal disease,49.9
2014,Arkansas,End-stage renal disease,
2011,Hawaii,End-stage renal disease,56.0
2014,Alaska,End-stage renal disease,
2013,California,End-stage renal disease,51.4
2012,Louisiana,End-stage renal disease,75.9
2014,Alaska,End-stage renal disease,
2015,Arizona,End-stage renal disease,37.0
2016,Indiana,End-stage renal disease,99.3
2015,Iowa,End-stage renal disease,
2020,Massachusetts,End-stage renal disease,
2012,Idaho,End-stage renal disease,55.0
2020,Arizona,End-stage renal disease,155.5
2018,Colorado,End-stage renal disease,63.1
2010,Colorado,End-stage renal disease,49.5
2013,Delaware,End-stage renal disease,84.7
2020,Iowa,End-stage renal disease,59.3
2018,Arkansas,End-stage renal disease,57.4
2018,Georgia,End-stage renal disease,68.6
2015,Illinois,End-stage renal disease,41.2
2018,Indiana,End-stage renal disease,38.1
2012,Alabama,End-stage renal disease,84.1
2015,Hawaii,End-stage renal disease,35.2
2016,Connecticut,End-stage renal disease,87.2
2010,District of Columbia,End-stage renal disease,33.0
2010,Connecticut,End-stage renal disease,60.7
2016,Colorado,End-stage renal disease,44.2
2015,Alabama,End-stage renal disease,53.5
2019,Georgia,End-stage renal disease,31.6
2011,Louisiana,End-stage renal disease,
2012,Arkansas,End-stage renal disease,79.1
2020,Hawaii,End-stage renal disease,48.9
2011,Arkansas,End-stage renal disease,
2014,Alabama,End-stage renal disease,
2014,Colorado,End-stage renal disease,29.1
2013,Massachusetts,End-stage renal disease,71.1
2010,Maryland,End-stage renal disease,58.0
2011,Georgia,End-stage renal disease,38.6
2010,California,End-stage renal disease,57.3
2020,Arkansas,End-stage renal disease,97.8
2018,Kentucky,End-stage renal disease,
2015,Illinois,End-stage renal disease,30.4
2016,Arkansas,End-stage renal disease,
2015,Massachusetts,End-stage renal disease,44.2
2020,Kansas,End-stage renal disease,59.8
2017,Connecticut,End-stage renal disease,36.7
2010,District of Columbia,End-stage renal disease,
2015,Massachusetts,End-stage renal disease,38.4
2020,Alaska,End-stage renal disease,49.1
2020,Louisiana,End-stage renal disease,67.5
2014,Kansas,End-stage renal disease,43.9
2013,Massachusetts,End-stage renal disease,
2014,Iowa,End-stage renal disease,39.2
2018,California,End-stage renal disease,40.6
2010,Florida,End-stage renal disease,
2012,Indiana,End-stage renal disease,84.1
2018,Iowa,End-stage renal disease,71.8
2017,Alabama,End-stage renal disease,71.5
2016,Arizona,End-stage renal disease,33.3
2012,Connecticut,End-stage renal disease,58.9
2013,Alaska,End-stage renal disease,
2014,Arizona,End-stage renal disease,37.3
2019,Connecticut,End-stage renal disease,20.0
2018,Louisiana,End-stage renal disease,47.9
2018,Idaho,End-stage renal disease,41.3
2014,Maryland,End-stage renal disease,
2020,Colorado,End-stage renal disease,78.5
2011,Delaware,End-stage renal disease,79.4
2020,Idaho,End-stage renal disease,58.3
2016,Alaska,End-stage renal disease,54.5
2015,Kansas,End-stage renal disease,119.0
2019,Alaska,End-stage renal disease,56.5
2019,Georgia,End-stage renal disease,67.0
2014,Kansas,End-stage renal disease,52.5
2018,California,End-stage renal disease,67.7
2010,Alaska,End-stage renal disease,
2012,Arizona,End-stage renal disease,39.7
2015,Illinois,End-stage renal disease,
2018,Arkansas,End-stage renal disease,67.9
2011,Maryland,End-stage renal disease,39.5
2011,Colorado,End-stage renal disease,82.6
2012,Indiana,End-stage renal disease,96.8
2012,Alabama,End-stage renal disease,
2015,Alaska,End-stage renal disease,55.4
2013,Idaho,End-stage renal disease,
2013,Arizona,End-stage renal disease,31.5
2017,Alabama,End-stage renal disease,
2013,Arkansas,End-stage renal disease,62.0
2019,Florida,End-stage renal disease,31.4
2012,Delaware,End-stage renal disease,70.7
2020,Colorado,End-stage renal disease,101.9
2010,Massachusetts,End-stage renal disease,48.8
2019,District of Columbia,End-stage renal disease,
2015,Georgia,End-stage renal disease,31.2
2019,California,End-stage renal disease,38.6
2020,Alaska,End-stage renal disease,105.3
2018,Hawaii,End-stage renal disease,35.8
2017,Idaho,End-stage renal disease,
2011,Arizona,End-stage renal disease,77.5
2013,Indiana,End-stage renal disease,47.0
2012,Kentucky,End-stage renal disease,97.7
2015,Delaware,End-stage renal disease,68.8
2013,Idaho,End-stage renal disease,50.1
2016,Florida,End-stage renal disease,33.2
2017,Arizona,End-stage renal disease,97.9
2015,Iowa,End-stage renal disease,51.6
2010,Delaware,End-stage renal disease,
2015,Connecticut,End-stage renal disease,60.6
2011,Illinois,End-stage renal disease,94.3
2015,Alaska,End-stage renal disease,78.7
2018,Louisiana,End-stage renal disease,70.1
2020,Indiana,End-stage renal disease,182.5
2014,California,End-stage renal disease,40.0
2011,Delaware,End-stage renal disease,
2013,Kansas,End-stage renal disease,51.7
2015,Georgia,End-stage renal disease,54.6
2013,Hawaii,End-stage renal disease,
2017,Louisiana,End-stage renal disease,55.0
2013,Hawaii,End-stage renal disease,65.4
2014,Louisiana,End-stage renal disease,70.8
2016,Delaware,End-stage renal disease,
2014,District of Columbia,End-stage renal disease,61.1
2013,Alabama,End-stage renal disease,
2014,Massachusetts,End-stage renal disease,38.8
2019,District of Columbia,End-stage renal disease,64.4
